2024-07-31 12:46:46 | 1213ms
2024-07-31 12:46:46 | 470ms
2024-07-31 12:46:47 | 397ms
2024-07-31 12:46:48 | 335ms
2024-07-31 12:46:49 | 295ms
2024-07-31 12:46:50 | 315ms
2024-07-31 12:46:51 | 277ms
2024-07-31 12:46:52 | 286ms
2024-07-31 12:46:53 | 269ms
2024-07-31 12:46:54 | 288ms
2024-07-31 12:46:55 | 351ms
2024-07-31 12:46:56 | 343ms
2024-07-31 12:46:57 | 390ms
2024-07-31 12:46:59 | 1144ms
2024-07-31 12:46:59 | 216ms
2024-07-31 12:47:00 | 377ms
2024-07-31 12:47:01 | 367ms
2024-07-31 12:47:02 | 356ms
2024-07-31 12:47:03 | 371ms
2024-07-31 12:47:04 | 282ms
2024-07-31 12:47:05 | 308ms
2024-07-31 12:47:06 | 284ms
2024-07-31 12:47:07 | 344ms
2024-07-31 12:47:08 | 324ms
2024-07-31 12:47:09 | 374ms
2024-07-31 12:47:10 | 341ms
2024-07-31 12:47:11 | 305ms
2024-07-31 12:47:12 | 293ms
2024-07-31 12:47:13 | 321ms
2024-07-31 12:47:14 | 426ms
2024-07-31 12:47:15 | 271ms
2024-07-31 12:47:16 | 268ms
2024-07-31 12:47:17 | 240ms
2024-07-31 12:47:18 | 251ms
2024-07-31 12:47:19 | 297ms
2024-07-31 12:47:20 | 342ms
2024-07-31 12:47:21 | 284ms
2024-07-31 12:47:22 | 409ms
2024-07-31 12:47:23 | 300ms
2024-07-31 12:47:24 | 296ms
2024-07-31 12:47:25 | 298ms
2024-07-31 12:47:26 | 315ms
2024-07-31 12:47:27 | 369ms
2024-07-31 12:47:28 | 423ms
2024-07-31 12:47:29 | 417ms
2024-07-31 12:47:30 | 376ms
2024-07-31 12:47:31 | 330ms
2024-07-31 12:47:32 | 337ms
2024-07-31 12:47:33 | 313ms
2024-07-31 12:47:34 | 225ms
2024-07-31 12:47:35 | 272ms
2024-07-31 12:47:36 | 296ms
2024-07-31 12:47:37 | 274ms
2024-07-31 12:47:38 | 299ms
2024-07-31 12:47:39 | 299ms
2024-07-31 12:47:40 | 286ms
2024-07-31 12:47:41 | 234ms
2024-07-31 12:47:42 | 246ms
2024-07-31 12:47:43 | 283ms
2024-07-31 12:47:44 | 294ms
2024-07-31 12:47:45 | 304ms
2024-07-31 12:47:46 | 773ms
2024-07-31 12:47:47 | 262ms
2024-07-31 12:47:48 | 300ms
2024-07-31 12:47:49 | 388ms
2024-07-31 12:47:50 | 223ms
2024-07-31 12:47:51 | 331ms
2024-07-31 12:47:52 | 297ms
2024-07-31 12:47:53 | 253ms
2024-07-31 12:47:54 | 342ms
2024-07-31 12:47:55 | 282ms
2024-07-31 12:47:56 | 298ms
2024-07-31 12:47:57 | 265ms
2024-07-31 12:47:58 | 303ms
2024-07-31 12:47:59 | 312ms
2024-07-31 12:48:00 | 312ms
2024-07-31 12:48:01 | 298ms
2024-07-31 12:48:02 | 302ms
2024-07-31 12:48:03 | 276ms
2024-07-31 12:48:04 | 357ms
2024-07-31 12:48:05 | 357ms
2024-07-31 12:48:06 | 310ms
2024-07-31 12:48:07 | 282ms
2024-07-31 12:48:08 | 309ms
2024-07-31 12:48:09 | 299ms
2024-07-31 12:48:10 | 873ms
